"Code","Name","Primary Role Name","Geographic Primary Care Organisation Code","Geographic Primary Care Organisation Name"
"RXR","EAST LANCASHIRE HOSPITALS NHS TRUST","NHS TRUST","00Q","NHS BLACKBURN WITH DARWEN CCG"
"RXL","BLACKPOOL TEACHING HOSPITALS NHS FOUNDATION TRUST","NHS TRUST","00R","NHS BLACKPOOL CCG"
"RX3","TEES, ESK AND WEAR VALLEYS NHS FOUNDATION TRUST","NHS TRUST","16C","NHS TEES VALLEY CCG"
"RVW","NORTH TEES AND HARTLEPOOL NHS FOUNDATION TRUST","NHS TRUST","16C","NHS TEES VALLEY CCG"
"RCF","AIREDALE NHS FOUNDATION TRUST","NHS TRUST","36J","NHS BRADFORD DISTRICT AND CRAVEN CCG"
"RXF","MID YORKSHIRE HOSPITALS NHS TRUST","NHS TRUST","03R","NHS WAKEFIELD CCG"
"RKB","UNIVERSITY HOSPITALS COVENTRY AND WARWICKSHIRE NHS TRUST","NHS TRUST","B2M3M","NHS COVENTRY AND WARWICKSHIRE CCG"
"RP7","LINCOLNSHIRE PARTNERSHIP NHS FOUNDATION TRUST","NHS TRUST","71E","NHS LINCOLNSHIRE CCG"
"RXA","CHESHIRE AND WIRRAL PARTNERSHIP NHS FOUNDATION TRUST","NHS TRUST","27D","NHS CHESHIRE CCG"
"RX6","NORTH EAST AMBULANCE SERVICE NHS FOUNDATION TRUST","NHS TRUST","13T","NHS NEWCASTLE GATESHEAD CCG"
"RPA","MEDWAY NHS FOUNDATION TRUST","NHS TRUST","91Q","NHS KENT AND MEDWAY CCG"
"RVY","SOUTHPORT AND ORMSKIRK HOSPITAL NHS TRUST","NHS TRUST","01V","NHS SOUTHPORT AND FORMBY CCG"
"RD1","ROYAL UNITED HOSPITALS BATH NHS FOUNDATION TRUST","NHS TRUST","92G","NHS BATH AND NORTH EAST SOMERSET, SWINDON AND WILTSHIRE CCG"
"RXP","COUNTY DURHAM AND DARLINGTON NHS FOUNDATION TRUST","NHS TRUST","16C","NHS TEES VALLEY CCG"
"RAJ","MID AND SOUTH ESSEX NHS FOUNDATION TRUST","NHS TRUST","99G","NHS SOUTHEND CCG"
"RNN","NORTH CUMBRIA INTEGRATED CARE NHS FOUNDATION TRUST","NHS TRUST","01H","NHS NORTH CUMBRIA CCG"
"RYF","SOUTH WESTERN AMBULANCE SERVICE NHS FOUNDATION TRUST","NHS TRUST","15N","NHS DEVON CCG"
"RYD","SOUTH EAST COAST AMBULANCE SERVICE NHS FOUNDATION TRUST","NHS TRUST","70F","NHS WEST SUSSEX CCG"
"R1C","SOLENT NHS TRUST","NHS TRUST","D9Y0V","NHS HAMPSHIRE, SOUTHAMPTON AND ISLE OF WIGHT CCG"
"RLQ","WYE VALLEY NHS TRUST","NHS TRUST","18C","NHS HEREFORDSHIRE AND WORCESTERSHIRE CCG"
"RAT","NORTH EAST LONDON NHS FOUNDATION TRUST","NHS TRUST","A3A8R","NHS NORTH EAST LONDON CCG"
"RP6","MOORFIELDS EYE HOSPITAL NHS FOUNDATION TRUST","NHS TRUST","93C","NHS NORTH CENTRAL LONDON CCG"
"RFF","BARNSLEY HOSPITAL NHS FOUNDATION TRUST","NHS TRUST","02P","NHS BARNSLEY CCG"
"RHW","ROYAL BERKSHIRE NHS FOUNDATION TRUST","NHS TRUST","15A","NHS BERKSHIRE WEST CCG"
"RHQ","SHEFFIELD TEACHING HOSPITALS NHS FOUNDATION TRUST","NHS TRUST","03N","NHS SHEFFIELD CCG"
"RX9","EAST MIDLANDS AMBULANCE SERVICE NHS TRUST","NHS TRUST","52R","NHS NOTTINGHAM AND NOTTINGHAMSHIRE CCG"
